YORK;male;Shit  What's that Do you wanna head back and call it in Nada No radiation no movement nothing What is it Is it dead Yeah it's fine I told you we what's that Bloody big if it is  Top's open Let's get back and call this in What is that is that metal fragments Another one Oh God oh shit oh God Give me a hand with Ack Don't uuh don't know  Help me uuh help me get him inside   I wanted to get him back here get him back to base Get real Beauvais  That thing might chew his fucking face off for all  I don't but I think we should just wait and let the Doc take a look I mean these these mothers were were huge  They look like  The sonofbitches got into 'E' wing They're ripping it apart Jesus Christ Hurry up we're losing it It's going Oh yeah  Like what This is fuckin' lunacy  You're not gonna make it across the platform  Oh yeah  Real inconspicuous You'll need this for the gratings Trigger finger to operate thumb  Suicide run man  Fuckin' suicide run
THOMAS;male;The door to the food storage locker was smashed open  It must have  Come on man  Leave it alone Catch this Yo' momma boneface These bastards ain't so tough Is that thing working We've got company You're what Quick give me the clip Yes Open the doors  Open the goddamned fucking doors Yeah  Right  You wanna go outside and tell them that Maybe they ain't coming  Maybe they don't even know we've got  They're comin' up through the pit Motherfucker 
MATT;male;Close it up close it up I'm tellin' you it's impossible  Nothing can grow and reproduce this  Well it occurred to me that we could use the overhead crane to load  Okay people  Let's hustle Yeehaa  Demolition derby baby Holy shit  groggy Shit You didn t tell him I was here  So what s the rush Wanna ride down You re gonna have to tell him about us  Isabelle  She bit me And give you a chance to pull ahead   ala Porky Good shootin  Tex I m still ahead 6 to 5 As we pull out we see we are Protocol is hot Maybe if you stopped naming them after  A whole mention And I thought I was  Okay Let s make some history It s reacting Do it Do it Come on  ribbing Sarah Well maybe not right away What was that about Yo Reality check What the hell was  The protocol works Why'd you tell  But they're the oversight committee  Well then mind telling us how   interrupting Can we talk about this later I'm  I know how you're feeling Hell he  What if you were given the opportunity  What if they didn't know whether or  Is about who gets to be on top Why do you always get philosophical  They said the same thing about the  We made our deal with the devil years  We're ready It's not too late to back out I'm  Nervous Ever tell you the one about Superman  So Superman's flying around the city  C'mon man That's funny shit  to Linda Any last words Human DNA structure is slightly more  We've got to stop it Is he dead Unfuckingbelievable S'okay You nodded off Seventeen hours In the lab crunching numbers We've  He may be coming out of it Over here in the corner It was painful Sebastian Well I see the procedure hasn't  It doesn't sound like something  You sure So how was your first night Yeah What'd you do Yeah Sarah mentioned you weren't in  It'd be helpful to us if you'd tell  It isn't I just don't want it to  We'll have to draw some more blood Okay man Here we go Subject manifesting Get a tranq Stat Start CPR Holy shit What happened I can't see his goddamn pupils Just got the tissue sample results  Sometimes the test pilots make  It's just a little hitch is all He'll  Not too bad You're physiology has changed and  He could be anywhere Hell he could be  See you there  looking around too We're just saying we need to be  Where the hell have you been It was bad enough you left without an  Sorry man You'd do the same if it  Come on man We've got a ton of tests  60% reversion 70%  75%  80%  93%  95% 95% Full quantum cascade at 95% Leave him alone He just needs to blow  How'd it go Why so cheery this morning I'm happy if I make it to my coffee  Think he knows about us I don't know I don't see anything  Relax it's nothing Where were we You saw the tape The man was in his  And it wasn't him What do we do in the meantime He's probably meeting with the  What Let me see that Let me try mine Kensington Two Romeo One Five Nine How long before anybody starts looking  What is it Removed By who This is bad What happened Intercom the phone lines They're  What the fuck is going on here What Can you fix the elevator Restore our  Right now that sounds like good news Systems hot Activating motion  That's him Got 'em Just watch our backs Hey Carter   Walkie  sotto Going Thermal He probably just stopped moving Do you have anything How did he get by us Sebastian We're here to help   into walkie C'mon C'mon What the Looks like looks like we're pumping  No fucking shit  into walkie Carter's down Hurt bad Bleeding from  Shit Goddamnit The doors are closing He's  Where Goddamnit I got thermals all over the  I'm starting to lose resolution on my  Sebastian Get a hold of yourself You  Calm down Sebastian we can talk  He was going to kill me We've got to got out of here Oh god That's right between us and  Ahh  Shit It won't kill me unless it gets  So he could be anywhere right now It happened alright Now we have to  Where Don't listen to him It's not worth  He does anything anything at all  Get out of here I'm dizzy I can't feel my legs He surprised us We weren't  Lin A little What're you doing Barely There's no way out They say freezing to death isn't so  Thought I'd thought I'd save you  He said it himself All they'll find  In an enclosed space he'll wipe out  Forget about me You go But I can't I'm going to pass out Don't look It's coming down Sebastian you fuck No Get off of her
WREN;male;                                                                                  
TO;andy;
HILLARD;male;                 
CHRISTIE;female;                                         
PRICE;male;Jeez That's not a helluva lot is it Whispering 
COURTNEY;female;Tell me Stashdo you think SoHo is 
MELANIE;female;Hello Mrs MacGruder have you ever  What do you suppose it is You said three o'clock Well this one won't be a chick  And he'll talk Yes judiciously with a resigned sigh What solicitously Lovebirds sir Well yes sir there are I understand completely sir leading him around  I think so sir No sir those are redbirds airily baffled Well we can't just let them fly  Oh certainly It's to protect the  Yes that's a particularly dangerous  Some of them are Well they get a sort of hangdog  Are you sure you wouldn't like to  feebly Oh  Ohhhhh There we are What did you say But how how do you know my name Hey wait a minute I don't know you How We never met in court or anyplace  When I didn't break that window What are you A policeman What do you call your lovebird story  You knew I didn't work here You  I think you're a louse And I'm glad you didn't get your  angrily Have you got a pencil No you'd better send him May I use  as she dials How soon Immediately with an edged anger Now What time tomorrow morning curtly That's all right Monday trapped Well where did he go Bodega Bay Where's that Sixty Oh in utter despair now Oh shut up Good morning I wonder if you could help me I'm looking for a man named Mitchell  Do you know him Where does he live Yes but where Where Yes The Brenners Mr and Mrs Brenner The two kids I see How do I get down there The front door You see I wanted to surprise them I didn't want to come right down the  It's a surprise you see Where would I get a boat looking at him surprised Daniels I wonder if you could tell me The little girl's name Yes Are you sure I need her exact name you see Yes Thank you Can I have the boat in about twenty  How much for the phone calls Me Miss Hayworth I'm Melanie Daniels I'm sorry to  The man at the post office sent me   The one who lives in the white house  smiling Well not exactly No not really It's a lovely garden No Just a few hours Well something like that Yes hesitating then Now you sound a bit mysterious Miss  Lovebirds Thank you What made it What's that So you're a lawyer Do you practice here What kind of law Is that why you'd like to see everyone  Only violators and practical jokers That's right Ouch Didn't you see the lovebirds To bring your sister those birds   To see a friend of mine Why blurting the only  realizing this was a  the lie getting deeper Just a few just a day or two  pulling away Yes Why would I want to see you of all  It was no trouble at all I simply  I loathe you You have no manners   None of your business I can't say I like your seagulls  I was And all I get for my pains is  angrily Yes but Certainly but With with Annie of course Annie Annie may have made other  I'm sure Maybe with an overwarm  Yes I did I was wondering That sign I would appreciate it I've tried  smiling Yes calling Yes Well I suppose Famished Your brother told me No not exactly to Mitch as he carries  What Oh I suppose so I don't think your mother would like  I know I don't think so touching her hair I don't know yet smiling I don't think so Cathy Oh yes Will I be seeing you again San Francisco's a long way from here How does Mother know what I like to  Oh That Rome In case you're interested I was  Without any clothes on With all my clothes on  The newspaper  I'm neither poor nor innocent but  Yes but Yes Yes that's the truth But I was  No No No Yes I was lying I wrote the letter It said "Dear Mr Brenner I think  Yes Because it seemed stupid and foolish I told you what happened in Rome I don't give a damn what you believe Why That might have been good enough in  But not for me angrily sarcastic touching her head If you have some I'd No thank you Thank you with a tired smile I despise it Where are you from originally Annie How'd you happen to come here I suspected as much Annie  there's nothing between  What do you mean When was this Different smiling And what had you done Then what was it Then why did she object to you Afraid you'd take Mitch I don't understand Annie that adds up to a jealous  Someone ought to tell her she'd be  What about Mitch Didn't he have  I see Then what are you doing here in Bodega  I'm sorry Forgive me I did And the second at phone coolly He wants me to go to Cathy's party  It seems so pointless Do you think I should go It's really up to Lydia isn't it firmly Thank you Annie pointing to the ground But it isn't dark Annie  There's  I really shouldn't have any more   I couldn't possibly I have to get  Cheers What's in this Nitroglycerin Well I have to get to work tomorrow  sipping at the martini I do different things on different  hesitating Yes And on Tuesdays I take a course in  On Thursdays I have my meeting and  Nothing Do you know what I was doing in that  I have an aunt you see Aunt Tessa  facetiously That's silly isn't it  Teaching a  Yes I I am A gull smashed into Annie's front  No I have my things in the car If I go across to Santa Rosa I'll  I'll get it Mitch shouting it Mitch The curtains I'll take Cathy up to bed I think I should don't you I'll get my things from the car Do  Mitch Mitch imitating them nodding secretively Certainly of birds It all started several months ago  delighted Not at first Oh yes a few sparrows  Sure But eventually even the more  Why should we submit ourselves to  And all the while that sparrow was  You have nothing to lose but your  Mmm With my little sparrow leading team It was like that yesterday After the gulls attacked It makes you feel as if they're  They were angry Mitch They came  I'm frightened Mitch I'm frightened and confused and I  everything I know Oh damn it why did you have to walk  Yes I was just taking her in some  Be careful Please No it's me Mrs Brenner I thought  Al Malone wanted him out at the  He was calling from the farm Mrs   He must have He sent for the Santa  What Yes I'm sure she's fine No Try not to think of that Mrs   Annie's there She'll be all right Yes Would you like to rest now Mrs   Why Mrs Brenner Is that so important Mrs Brenner   And if you don't I think it might also matter to Mitch going to the bed  Would you like me to go for her I don't mind really I'll just clear up here and then  Outside We've got to get the children out of  whispering Daddy there were hundreds of them   At the school No I don't Just a  The Bodega Bay School I don't know how many children No the birds didn't attack until  They're different Daddy Thank you dialing into phone in background Yes all right I'll wait for you   turning to her leaping upon this What were the crows after at the  Daniels I think they were after the  To I don't know why No one called it a war Have you ever seen a jay protecting  Maybe they're all protecting the  I don't know anything about birds  This isn't a few birds I keep telling  Maybe Is it impossible At Annie's house She's all right Listen to him please Look Mitch Mitch Don't let's take any chances Careful Mitch The crows may be  as the birds flutter  Please Get Cathy  Let's get out of  Mitch you can't leave her out there You drive Mitch holding her breath The town looks clear How long have they been gathering  I keep thinking of Annie looking Look They're still coming I tried a little while ago The  Yes Where are they heading Santa Rosa That's the last of it And locked it I'll go with you When will they stop What time is it You must be exhausted I don't want to be safe I want to  Mitch No wait whispering still whispering I'm I'm weakly Please weakly Can we turn back Then go ahead Mitch Mitch
